"orderNumber","occurrenceID","family","scientificName","identificationQualifier","genus","subgenus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","eventDate","year","basisOfRecord","lifeStage","organismQuantity","organismQuantityType","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","locality","municipality","stateProvince","country","countryCode","recordedBy","identifiedBy","identificationRemarks","occurrenceRemarks","kingdom","rankmarker","taxonID","language","license","rightsHolder","datasetID","institutionCode","datasetName","taxonRank","nomenclaturalCode"
129,"WL:SNAIL:ES:OCC:00128","Hygromiidae","Pyrenaearia schaufussi",,"Pyrenaearia",,"schaufussi",,"(Kobelt, 1876)",2019-09-12,2019,"HumanObservation","juvenile",1,"exact count",43.1550559997559,-4.80578327178955,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Han Raven","see also Alonso et al., 2019","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:8b274a48f4f505f3a8bd3311ce875394","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
130,"WL:SNAIL:ES:OCC:00129","Geomitridae","Plentuisa vendia",,"Plentuisa",,"vendia",,"Puente & Prieto, 1992",2019-09-12,2019,"HumanObservation","adult",8,"exact count",43.1550559997559,-4.80578327178955,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:07793702c83e5e757d4d4a405bb8bfc6","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
131,"WL:SNAIL:ES:OCC:00130","Geomitridae","Plentuisa vendia",,"Plentuisa",,"vendia",,"Puente & Prieto, 1992",2019-09-12,2019,"HumanObservation","juvenile",8,"exact count",43.1550559997559,-4.80578327178955,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:07793702c83e5e757d4d4a405bb8bfc6","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
132,"WL:SNAIL:ES:OCC:00131","Punctidae","Paralaoma servile",,"Paralaoma",,"servile",,"(Shuttleworth, 1852)",2019-09-12,2019,"HumanObservation","adult",2,"exact count",43.1550559997559,-4.80578327178955,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:d1c712bbaf9ec6109d0c4487054708a8","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
133,"WL:SNAIL:ES:OCC:00132","Punctidae","Paralaoma servile",,"Paralaoma",,"servile",,"(Shuttleworth, 1852)",2019-09-12,2019,"HumanObservation","juvenile",5,"exact count",43.1550559997559,-4.80578327178955,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:d1c712bbaf9ec6109d0c4487054708a8","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
134,"WL:SNAIL:ES:OCC:00133","Pyramidulidae","Pyramidula pusilla/umbilicata",,"Pyramidula",,"pusilla/umbilicata",,"(Vallot, 1801)/(Montagu, 1803)",2019-09-12,2019,"HumanObservation","adult",2,"exact count",43.1550559997559,-4.80578327178955,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert","shells don't seem te be at optimal size;  shells flat, but umbilicus not extremely large","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:5ef0804c6d465cf5c7dad4d8a318c04e","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
135,"WL:SNAIL:ES:OCC:00134","Pyramidulidae","Pyramidula pusilla/umbilicata",,"Pyramidula",,"pusilla/umbilicata",,"(Vallot, 1801)/(Montagu, 1803)",2019-09-12,2019,"HumanObservation","juvenile",5,"exact count",43.1550559997559,-4.80578327178955,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert","shells don't seem te be at optimal size;  shells flat, but umbilicus not extremely large","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:5ef0804c6d465cf5c7dad4d8a318c04e","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
136,"WL:SNAIL:ES:OCC:00135","Arionidae","Arion (Mesarion) urbiae",,"Arion","Mesarion","urbiae",,"de Winter, 1986",2019-09-12,2019,"HumanObservation","adult",1,"exact count",43.155258333333,-4.8059083333333,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Han Raven, Ton de Winter & Ward Langeraert","blue-grey Arion with pale sole","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:177cc325f0b1f8c8911fb87a85a289a9","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
137,"WL:SNAIL:ES:OCC:00136","Megalomastomatidae","Obscurella asturica",,"Obscurella",,"asturica",,"Raven, 1990",2019-09-12,2019,"HumanObservation","adult",9,"exact count",43.1581764221191,-4.80856370925903,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert","dark shells with sharp ribs and deeper suture","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:7f2927666c1f644a9bffc8924118bca6","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
138,"WL:SNAIL:ES:OCC:00137","Pristilomatidae","Vitrea subrimata",,"Vitrea",,"subrimata",,"(Reinhardt, 1871)",2019-09-12,2019,"HumanObservation","adult",3,"exact count",43.1581764221191,-4.80856370925903,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert","closed umbilicus, determination based on Cadevall and Orozco (2016)","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:3de54e360529f207e34b01fc74f6ec0e","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
139,"WL:SNAIL:ES:OCC:00138","Punctidae","Paralaoma servile",,"Paralaoma",,"servile",,"(Shuttleworth, 1852)",2019-09-12,2019,"HumanObservation","adult",1,"exact count",43.1581764221191,-4.80856370925903,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:d1c712bbaf9ec6109d0c4487054708a8","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
140,"WL:SNAIL:ES:OCC:00139","Geomitridae","Helicella valdeona",,"Helicella",,"valdeona",,"E. Gittenberger & Manga, 1980",2019-09-12,2019,"HumanObservation","adult",1,"exact count",43.1581764221191,-4.80856370925903,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:4b1a3ff19305a5db61e8d32d65a2ee86","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
141,"WL:SNAIL:ES:OCC:00140","Arionidae","Arion (Mesarion) urbiae",,"Arion","Mesarion","urbiae",,"de Winter, 1986",2019-09-12,2019,"HumanObservation","adult",1,"exact count",43.15815,-4.8086194444444,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Han Raven, Ton de Winter & Ward Langeraert","blue-grey Arion with pale sole","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:177cc325f0b1f8c8911fb87a85a289a9","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
142,"WL:SNAIL:ES:OCC:00141","Chondrinidae","Chondrina cliedentata",,"Chondrina",,"cliedentata",,"E. Gittenberger, 1973",2019-09-12,2019,"HumanObservation","adult",1,"exact count",43.1606407165527,-4.80572509765625,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"alive","Animalia","sp.","checklist_snails_grancanaria:taxon:3b7c86924dc50707da0236dc8d10b8ea","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
143,"WL:SNAIL:ES:OCC:00142","Vitrinidae","Oligolimax annularis",,"Oligolimax",,"annularis",,"(S. Studer, 1820)",2019-09-12,2019,"HumanObservation","adult",1,"exact count",43.1620025634766,-4.79745531082153,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:1b8e2ab431f4804af4d8e047b71d0f67","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
144,"WL:SNAIL:ES:OCC:00143","Geomitridae","Helicella valdeona",,"Helicella",,"valdeona",,"E. Gittenberger & Manga, 1981",2019-09-12,2019,"HumanObservation","adult",1,"exact count",43.16203889,-4.79698611,25,"Picos de Europa (El Portal de Picos - Fuente Dé)","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"alive","Animalia","sp.","checklist_snails_grancanaria:taxon:4b1a3ff19305a5db61e8d32d65a2ee86","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
145,"WL:SNAIL:ES:OCC:00144","Trissexodontidae","Oestophorella buvinieri",,"Oestophorella",,"buvinieri",,"(Michaud, 1841)",2019-09-13,2019,"HumanObservation","adult",2,"exact count",43.1288833618164,-4.80667543411255,25,"Between Fuente Dé and Pido","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:797f338f84a3a128a6a44b0f02534aad","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
146,"WL:SNAIL:ES:OCC:00145","Geomitridae","Helicella valdeona",,"Helicella",,"valdeona",,"E. Gittenberger & Manga, 1982",2019-09-13,2019,"HumanObservation","adult",3,"exact count",43.1288833618164,-4.80667543411255,25,"Between Fuente Dé and Pido","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:4b1a3ff19305a5db61e8d32d65a2ee86","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
147,"WL:SNAIL:ES:OCC:00146","Geomitridae","Helicella valdeona",,"Helicella",,"valdeona",,"E. Gittenberger & Manga, 1982",2019-09-13,2019,"HumanObservation","juvenile",1,"exact count",43.1288833618164,-4.80667543411255,25,"Between Fuente Dé and Pido","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:4b1a3ff19305a5db61e8d32d65a2ee86","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
148,"WL:SNAIL:ES:OCC:00147","Enidae","Merdigera obscura",,"Merdigera",,"obscura",,"(O. F. Müller, 1774)",2019-09-13,2019,"HumanObservation","adult",1,"exact count",43.1286964416504,-4.80698776245117,25,"Between Fuente Dé and Pido","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:ac4fa3b06c08a02e3fd3194034ddb2bc","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
149,"WL:SNAIL:ES:OCC:00148","Pomatiidae","Pomatias elegans",,"Pomatias",,"elegans",,"(O. F. Müller, 1774)",2019-09-13,2019,"HumanObservation","adult",3,"exact count",43.1286697387695,-4.8070125579834,25,"Between Fuente Dé and Pido","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:9b2be12ef6e10587cfe6b2986f3901cf","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
150,"WL:SNAIL:ES:OCC:00149","Pomatiidae","Pomatias elegans",,"Pomatias",,"elegans",,"(O. F. Müller, 1774)",2019-09-13,2019,"HumanObservation","juvenile",2,"exact count",43.1286697387695,-4.8070125579834,25,"Between Fuente Dé and Pido","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:9b2be12ef6e10587cfe6b2986f3901cf","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
151,"WL:SNAIL:ES:OCC:00150","Geomitridae","Xerosecta cespitum",,"Xerosecta",,"cespitum",,"(Draparnaud, 1801)",2019-09-13,2019,"HumanObservation",,50,"estimate count",43.13079348,-4.80667439,25,"Between Fuente Dé and Pido","Camaleño","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:e17f60003207e5d8d1330373d72b4dac","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
152,"WL:SNAIL:ES:OCC:00151","Geomitridae","Xerotricha apicina",,"Xerotricha",,"apicina",,"(Lamarck, 1822)",2019-09-13,2019,"HumanObservation","adult",1,"exact count",43.4072418212891,-3.43062281608582,25,"Laredo","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:7abba46af0fae238f2c0538c9ff21787","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
153,"WL:SNAIL:ES:OCC:00152","Helicidae","Theba pisana",,"Theba",,"pisana",,"(O. F. Müller, 1774)",2019-09-14,2019,"HumanObservation",,,"exact count",43.4117546081543,-3.45306277275085,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:ba1598720717ed0f2c48f4c5cd4ae03e","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
154,"WL:SNAIL:ES:OCC:00153","Geomitridae","Cochlicella acuta",,"Cochlicella",,"acuta",,"(O. F. Müller, 1774)",2019-09-14,2019,"HumanObservation","adult",11,"exact count",43.4117546081543,-3.45306372642517,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:11a5e1569b9beb490e33b7a6b669fc4f","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
155,"WL:SNAIL:ES:OCC:00154","Geomitridae","Cochlicella acuta",,"Cochlicella",,"acuta",,"(O. F. Müller, 1774)",2019-09-14,2019,"HumanObservation","juvenile",12,"exact count",43.4117546081543,-3.45306372642517,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:11a5e1569b9beb490e33b7a6b669fc4f","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
156,"WL:SNAIL:ES:OCC:00155","Geomitridae","Xerotricha apicina",,"Xerotricha",,"apicina",,"(Lamarck, 1822)",2019-09-14,2019,"HumanObservation","adult",17,"exact count",43.4117736816406,-3.45303893089294,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:7abba46af0fae238f2c0538c9ff21787","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
157,"WL:SNAIL:ES:OCC:00156","Geomitridae","Xerotricha apicina",,"Xerotricha",,"apicina",,"(Lamarck, 1822)",2019-09-14,2019,"HumanObservation","juvenile",6,"exact count",43.4117736816406,-3.45303893089294,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:7abba46af0fae238f2c0538c9ff21787","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
158,"WL:SNAIL:ES:OCC:00157","Geomitridae","Cochlicella barbara",,"Cochlicella",,"barbara",,"(Linnaeus, 1758)",2019-09-14,2019,"HumanObservation",,40,"estimate count",43.4117851257324,-3.45314288139343,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:5d5814ec63be19cb1459889d555f1f01","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
159,"WL:SNAIL:ES:OCC:00158","Pupillidae","Pupilla muscorum",,"Pupilla",,"muscorum",,"(Linnaeus, 1758)",2019-09-14,2019,"HumanObservation",,40,"estimate count",43.4121589660645,-3.45324158668518,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert","remarkably small shells, but does not seem to resemble any other species","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:2010736b03c16cb43b61651b8c74734d","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
160,"WL:SNAIL:ES:OCC:00159","Vitrinidae","Vitrina pellucida",,"Vitrina",,"pellucida",,"(O. F. Müller, 1774)",2019-09-14,2019,"HumanObservation","juvenile",3,"exact count",43.4121589660645,-3.45324158668518,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:381f19d8e51f5303e17c9200ef7620bc","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
161,"WL:SNAIL:ES:OCC:00160","Geomitridae","Cernuella aginnica",,"Cernuella",,"aginnica",,"(Locard, 1882)",2019-09-14,2019,"HumanObservation","adult",2,"exact count",43.4121780395508,-3.45325469970703,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert","determination according to Cadevall and Orozco (2016)","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:f2819fe0b0ede426eb9490e3a06dd2e3","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
162,"WL:SNAIL:ES:OCC:00161","Geomitridae","Cernuella aginnica",,"Cernuella",,"aginnica",,"(Locard, 1882)",2019-09-14,2019,"HumanObservation","juvenile",4,"exact count",43.4121780395508,-3.45325469970703,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert","determination according to Cadevall and Orozco (2016)","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:f2819fe0b0ede426eb9490e3a06dd2e3","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
163,"WL:SNAIL:ES:OCC:00162","Clausiliidae","Clausilia bidentata",,"Clausilia",,"bidentata",,"(Strøm, 1765)",2019-09-14,2019,"HumanObservation","adult",9,"exact count",43.4123268127441,-3.45309948921204,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:201f93f48b48a2210bde594cb6f0584e","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
164,"WL:SNAIL:ES:OCC:00163","Cochlicopidae","Cochlicopa lubricella",,"Cochlicopa",,"lubricella",,"(Porro, 1838)",2019-09-14,2019,"HumanObservation","adult",3,"exact count",43.4123268127441,-3.45309948921204,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:2419bfc0a41d10c3d274c9cf5136b782","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
165,"WL:SNAIL:ES:OCC:00164",,"Gastropoda spec.",,,,,,,2019-09-14,2019,"HumanObservation","adult",1,"exact count",43.4123268127441,-3.45309948921204,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert","old, small shells possibly of marine origin, could also be a Platyla spec.","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:48f441a836fd0b85d4f43d0d76383cc7","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
166,"WL:SNAIL:ES:OCC:00165",,"Gastropoda spec.",,,,,,,2019-09-14,2019,"HumanObservation","juvenile",2,"exact count",43.4123268127441,-3.45309948921204,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert","old, small shells possibly of marine origin, could also be a Platyla spec.","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:48f441a836fd0b85d4f43d0d76383cc7","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
167,"WL:SNAIL:ES:OCC:00166",,"Gastropoda spec.",,,,,,,2019-09-14,2019,"HumanObservation","adult",1,"exact count",43.4123268127441,-3.45309948921204,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert","old shell fragment possibly of marine origin, could also be a Platyla spec.","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:48f441a836fd0b85d4f43d0d76383cc7","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
168,"WL:SNAIL:ES:OCC:00167","Vertiginidae","Vertigo pygmaea",,"Vertigo",,"pygmaea",,"(Draparnaud, 1801)",2019-09-14,2019,"HumanObservation","adult",1,"exact count",43.41232681,-3.45311093,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:e82500ed8be3b464c698476145054bdb","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
169,"WL:SNAIL:ES:OCC:00168","Punctidae","Paralaoma servile",,"Paralaoma",,"servile",,"(Shuttleworth, 1852)",2019-09-14,2019,"HumanObservation",,50,"estimate count",43.4125595092773,-3.45301008224487,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:d1c712bbaf9ec6109d0c4487054708a8","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
170,"WL:SNAIL:ES:OCC:00169","Lauriidae","Lauria cylindracea",,"Lauria",,"cylindracea",,"(Da Costa, 1778)",2019-09-14,2019,"HumanObservation",,30,"estimate count",43.412540435791,-3.45301246643066,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert","remarkably small shells, but does not seem to resemble any other species","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:2961d32c4460cef228616ee6114b82cc","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
171,"WL:SNAIL:ES:OCC:00170","Valloniidae","Vallonia costata",,"Vallonia",,"costata",,"(O. F. Müller, 1774)",2019-09-14,2019,"HumanObservation","adult",1,"exact count",43.412540435791,-3.45301246643066,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:e341186528902a8da5c15dada7a30d53","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
172,"WL:SNAIL:ES:OCC:00171","Helicidae","Cepaea nemoralis",,"Cepaea",,"nemoralis",,"(Linnaeus, 1758)",2019-09-14,2019,"HumanObservation","adult",1,"exact count",43.4136085510254,-3.45236945152283,25,"Dunes of Playa Regaton (Laredo)","Laredo","Cantabria","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:d4eb2e1a7bdb72d890220123ebbe2a56","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
